Year,Type,Weight_group,Hd Cnt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
2017,Slaughter Cows: Breakers 75-80,850-1200 BAA,150,61.57,55.42,62.59,61.41,60.9,64.62,65.8,60.55,53.91,50.09,46.54,47.18,59.29
2017,Slaughter Cows: Breakers 75-80,1200-1600 BAH,"2,418",55.06,57.28,63.1,61.14,62.04,65.28,65.58,62.78,57.44,51.05,48.38,50.61,58.35
2017,Slaughter Cows: Breakers 75-80,1600-2000 BAK,384,51.69,55.11,61.51,60.63,61.86,64.41,63.84,61.7,59.75,50.31,46.11,51.76,58.39
2017,Slaughter Cows: Boners 80-85,800-1200 BAB,"9,148",54.02,57.49,63.8,62.8,63.74,65.64,66.22,64.34,58.0,52.73,48.56,52.01,60.03
2017,Slaughter Cows: Boners 80-85,1200-2000 BAI,"7,256",55.19,59.19,66.26,64.36,64.74,66.87,66.59,64.62,58.12,52.36,48.99,52.72,60.55
2017,Slaughter Cows: Lean 85-90,0-750 BAD,58,45.5,36.39,52.99,53.26,59.33,54.99,,59.0,,43.8,,46.23,49.41
2017,Slaughter Cows: Lean 85-90,750-850 BAE,530,43.38,46.55,49.03,53.56,56.08,56.98,59.47,57.35,44.78,43.41,40.19,41.71,50.59
2017,Slaughter Cows: Lean 85-90,850-1200 BAF,"5,960",47.64,49.61,55.78,56.58,58.41,59.08,61.05,58.56,51.73,45.71,42.85,44.58,52.58
2017,Slaughter Cows: Lean 85-90,1200-2000 BAJ,516,48.28,52.96,60.22,58.55,59.38,60.89,62.31,58.69,52.75,46.44,42.16,42.46,53.81
2017,Slaughter Bulls: Y.G. 1-2,1000-1500 ABA,"1,399",71.21,77.85,82.21,80.88,83.09,89.14,87.51,86.53,78.24,72.35,67.33,69.25,79.01
2017,Slaughter Bulls: Y.G. 1-2,1500-2500 ABB,"3,863",74.71,80.01,86.63,86.11,88.35,92.02,92.0,88.49,86.27,74.38,69.73,72.25,82.81
2017,Feeder Steers: Medium and Large 1,200-250 CCA,165,187.61,171.6,203.62,204.93,215.86,204.53,199.41,202.04,202.32,182.22,190.5,198.71,201.11
2017,Feeder Steers: Medium and Large 1,250-300 CCB,355,168.02,170.18,193.32,189.33,200.54,187.18,187.23,184.2,196.42,181.38,188.6,189.45,187.62
2017,Feeder Steers: Medium and Large 1,300-350 CCC,"1,250",158.41,163.69,175.34,177.16,179.84,172.6,175.11,177.76,182.12,177.81,179.53,181.43,174.73
2017,Feeder Steers: Medium and Large 1,350-400 CCD,"1,955",154.5,158.61,167.59,166.87,171.61,168.34,167.68,167.79,172.97,171.01,174.25,174.52,168.17
2017,Feeder Steers: Medium and Large 1,400-450 CCE,"1,899",149.06,154.41,160.68,159.67,166.99,163.67,161.25,160.56,163.37,162.94,168.03,167.44,161.48
2017,Feeder Steers: Medium and Large 1,450-500 CCF,"2,172",144.8,147.58,154.72,155.26,161.21,158.41,154.26,149.83,154.26,155.66,161.36,160.81,154.88
2017,Feeder Steers: Medium and Large 1,500-550 CCG,"3,039",139.34,142.23,147.37,148.11,158.47,156.77,146.43,141.03,147.54,152.76,154.01,153.73,148.83
2017,Feeder Steers: Medium and Large 1,550-600 CCH,"2,963",131.67,135.64,140.81,142.12,152.54,149.49,144.65,137.43,142.08,142.92,147.66,147.81,143.49
